tileset_path,tile_id,tile_name,col,row,x_px,y_px,w_px,h_px,suggested_game_key,walkable,blocks_los,notes
tilesheets/player_ship_tileset_32px.png,0,floor_plain,0,0,0,0,32,32,player_ship_floor_plain,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,1,floor_panel_a,1,0,32,0,32,32,player_ship_floor_panel_a,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,2,floor_panel_b,2,0,64,0,32,32,player_ship_floor_panel_b,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,3,floor_grate,3,0,96,0,32,32,player_ship_floor_grate,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,4,corridor_ns,4,0,128,0,32,32,player_ship_corridor_ns,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,5,corridor_ew,5,0,160,0,32,32,player_ship_corridor_ew,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,6,corridor_cross,6,0,192,0,32,32,player_ship_corridor_cross,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,7,corridor_corner_ne,7,0,224,0,32,32,player_ship_corridor_corner_ne,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,8,wall_plain,0,1,0,32,32,32,player_ship_wall_plain,no,yes,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,9,wall_reinforced,1,1,32,32,32,32,player_ship_wall_reinforced,no,yes,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,10,wall_corner,2,1,64,32,32,32,player_ship_wall_corner,no,yes,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,11,door_closed,3,1,96,32,32,32,player_ship_door_closed,yes,yes,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,12,door_open,4,1,128,32,32,32,player_ship_door_open,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,13,airlock,5,1,160,32,32,32,player_ship_airlock,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,14,window,6,1,192,32,32,32,player_ship_window,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,15,glass_floor,7,1,224,32,32,32,player_ship_glass_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,16,bridge_console_floor,0,2,0,64,32,32,player_ship_bridge_console_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,17,engineering_floor,1,2,32,64,32,32,player_ship_engineering_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,18,reactor_floor,2,2,64,64,32,32,player_ship_reactor_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,19,medbay_floor,3,2,96,64,32,32,player_ship_medbay_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,20,lab_floor,4,2,128,64,32,32,player_ship_lab_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,21,cargo_floor,5,2,160,64,32,32,player_ship_cargo_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,22,crew_quarters_floor,6,2,192,64,32,32,player_ship_crew_quarters_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,23,vent_grate,7,2,224,64,32,32,player_ship_vent_grate,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,24,pipe_floor,0,3,0,96,32,32,player_ship_pipe_floor,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,25,wiring_panel,1,3,32,96,32,32,player_ship_wiring_panel,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,26,coolant_pool,2,3,64,96,32,32,player_ship_coolant_pool,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,27,frozen_coolant,3,3,96,96,32,32,player_ship_frozen_coolant,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,28,plasma_pool,4,3,128,96,32,32,player_ship_plasma_pool,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,29,lubricant,5,3,160,96,32,32,player_ship_lubricant,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,30,blast_mark,6,3,192,96,32,32,player_ship_blast_mark,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,31,damaged_plating,7,3,224,96,32,32,player_ship_damaged_plating,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,32,debris,0,4,0,128,32,32,player_ship_debris,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,33,breached_floor,1,4,32,128,32,32,player_ship_breached_floor,no,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,34,weakened_plating,2,4,64,128,32,32,player_ship_weakened_plating,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,35,shield_zone,3,4,96,128,32,32,player_ship_shield_zone,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,36,energy_node,4,4,128,128,32,32,player_ship_energy_node,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,37,charging_pad,5,4,160,128,32,32,player_ship_charging_pad,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,38,gravity_trap,6,4,192,128,32,32,player_ship_gravity_trap,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,39,holo_trap,7,4,224,128,32,32,player_ship_holo_trap,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,40,conveyor_n,0,5,0,160,32,32,player_ship_conveyor_n,yes,no,Shared 32px tile ID used by sample maps.
tilesheets/player_ship_tileset_32px.png,41,conveyor_s,1,5,32,160,32,32,player_ship_conveyor_s,yes,no,Shared 32px tile ID used by sample maps.
