Progress: 50/300
Progress: 100/300
Progress: 150/300
Progress: 200/300
Progress: 250/300
Progress: 300/300
一 | HC: 一 | Ours: 刀
七 | HC: 乚 一 | Ours: 刀
三 | HC: 一 二 | Ours: 十
上 | HC: ⺊ 一 | Ours: 土
下 | HC: 一 卜 | Ours: 十
不 | HC: 一 丿 卜 | Ours: 大
东 | HC: 乚 一 小 | Ours: 木 日
两 | HC: 一 从 冂 | Ours: 人
个 | HC: 人 丨 | Ours: 人
中 | HC: 口 丨 | Ours: 口
么 | HC: 丿 厶 | Ours: 心
九 | HC: 丿 ㇈ | Ours: 力
也 | HC: 乚 ㇆ 丨 | Ours: 水
习 | HC: ㇆ 亠 | Ours: 水
书 | HC: 丨 丶 | Ours: 言
买 | HC: ㇖ 大 ⺀ | Ours: 贝
了 | HC: ㇇ 亅 | Ours: 刀
事 | HC: 十 口 丨 ⺺ 亅 | Ours: 手
二 | HC: 二 | Ours: 刀
五 | HC: 一 力 一 | Ours: 工
些 | HC: 止 匕 二 | Ours: 足 刀
京 | HC: 亠 口 小 | Ours: 口 小
人 | HC: 人 | Ours: 人
什 | HC: 亻 十 | Ours: 人 十
今 | HC: 人 丶 ㇇ | Ours: 人
介 | HC: 人 | Ours: 人
从 | HC: 从 | Ours: 人
他 | HC: 亻 乚 ㇆ 丨 | Ours: 人
们 | HC: 亻 门 | Ours: 人 门
休 | HC: 亻 木 | Ours: 人 木
会 | HC: 人 二 厶 | Ours: 人 心
住 | HC: 亻 王 丶 | Ours: 人 土
体 | HC: 亻 木 一 | Ours: 人
作 | HC: 亻 丿 一 丨 二 | Ours: 人
你 | HC: 亻 ⺈ 小 | Ours: 人 小
候 | HC: 亻 丨 矢 | Ours: 人 大
假 | HC: 亻 尸 二 又 | Ours: 人 又
做 | HC: 亻 十 口 ⺙ | Ours: 人 十 口 手
儿 | HC: 儿 | Ours: 人
元 | HC: 二 儿 | Ours: 人
先 | HC: ⺧ 儿 | Ours: 人 足
八 | HC: 八 | Ours: 刀
六 | HC: 亠 八 | Ours: 大
关 | HC: 丷 一 大 | Ours: 大
兴 | HC: ⺍ 一 八 | Ours: 火
再 | HC: 一 冂 土 | Ours: 又
写 | HC: 冖 一 | Ours: 言
冷 | HC: 冫 人 丶 龴 | Ours: 水 人
净 | HC: 冫 ⺈ ⺕ 亅 | Ours: 水
准 | HC: 冫 隹 | Ours: 水
几 | HC: 几 | Ours: 木
出 | HC: 出 | Ours: 木
分 | HC: 八 刀 | Ours: 刀
别 | HC: 口 力 刂 | Ours: 口 力 刀
到 | HC: 至 刂 | Ours: 心 土 刀
